 19041.2700	p	pg
 24387.3370	p	vis
 24788.2860	p	vis
 24788.3600	p	pg
 24794.3300	p	pg
 24979.5800	p	pg
 25119.4000	p	pg
 25125.5000	p	pg
 26562.1630	p	vis
 32184.5860	p	pg
 32773.8470	p	pg
 33101.9020	p	pg
 33159.6140	p	pg
 33171.7630	p	pg
 33505.8860	p	pg
 33566.6360	p	pg
 33639.5350	p	pg
 33882.5360	p	pg
 33894.6810	p	pg
 33961.5060	p	pg
 34049.5930	p	pg
 34298.6720	p	pg
 34338.2120	p	pg
 34426.2550	p	pg
 34617.6110	p	pg
 34954.7720	p	pg
 35012.4840	p	vis
 35838.6960	p	pg
 36008.7930	p	pg
 36151.5610	p	pg
 36558.5840	p	pg
 36561.6200	p	pg
 41500.5340	p	pg
 41570.3970	p	vis
 41895.4170	p	vis
 41901.4660	p	vis
 41901.4730	p	vis
 41904.5160	p	vis
 41904.5200	p	vis
 41974.3700	p	vis
 42299.3740	p	vis
 42302.4150	p	vis
 42630.4540	p	vis
 42782.3180	p	vis
 42955.4540	p	vis
 42955.4610	p	vis
 42961.5370	p	vis
 42964.5630	p	vis
 43368.5510	p	vis
 44164.3530	p	vis
 44167.3960	p	vis
 44343.5560	p	vis
 44489.3470	p	vis
 44498.4510	p	vis
 44820.4320	p	vis
 44820.4330	p	vis
 44820.4340	p	vis
 44820.4356	p	vis
 44902.4380	p	vis
 44914.5937	p	vis
 45078.6060	p	vis
 45224.4090	p	vis
 45555.4730	p	vis
 45698.2310	p	vis
 45971.5970	p	vis
 45971.6010	p	vis
 46032.3470	p	vis
 46211.5620	p	vis
 46360.3990	p	vis
 46679.3350	p	vis
 46764.3740	p	vis
 47742.4580	p	vis
 47894.3240	p	vis
 48143.4060	p	vis
 48143.4100	p	vis
 48146.4490	p	vis
 48474.4780	p	vis
 48620.2940	p	vis
 48623.3290	p	vis
 48623.3320	p	vis
 48872.4060	p	vis
 49929.4700	p	vis
 49999.3450	p	vis
 50585.5654	p	ccd
 50658.4680	p	vis
 50731.3680	p	vis
 51308.4990	p	ccd
 52195.4558	p	-Ir
 52368.5965	p	-Ir
 52930.5466	p	-Ir
 53316.3233	p	ccd
 53656.5342	p	ccd
 53981.5538	p	ccd
 54382.5153	p	ccd
 55175.3214	p	ccd
 55430.4781	p	-Ir
 55758.5375	p	-Ir
