 11700.5900	p	pg
 12080.6290	p	pg
 12711.7800	p	pg
 14682.5620	p	pg
 15039.5330	p	pg
 15434.5020	p	pg
 15714.0980	p	pg
 16099.5590	p	pg
 16457.8680	p	pg
 17216.5770	p	pg
 18139.5200	p	pg
 18719.0750	p	pg
 19367.8620	p	pg
 19832.0510	p	pg
 20461.8320	p	pg
 20976.2430	p	pg
 21753.9630	p	pg
 22375.5900	p	pg
 22982.2960	p	pg
 23670.4440	p	vis
 23674.5150	p	vis
 23704.3760	p	vis
 23704.3770	p	vis
 23728.8060	p	vis
 23738.3120	p	vis
 23739.6650	p	vis
 23785.8120	p	vis
 23799.3820	p	vis
 23810.2450	p	vis
 23814.3130	p	vis
 23833.3120	p	pg
 23970.4050	p	vis
 23974.4780	p	vis
 23977.1915	p	pg
 23989.4050	p	vis
 23997.5520	p	vis
 24008.4070	p	vis
 24012.4820	p	vis
 24013.8383	p	vis
 24031.4820	p	vis
 24035.5540	p	vis
 24050.4840	p	vis
 24065.4200	p	vis
 24114.2800	p	vis
 24118.3620	p	vis
 24134.6400	p	vis
 24152.2840	p	vis
 24152.2840	p	vis
 24179.4300	p	vis
 24224.2207	p	vis
 24228.2950	p	vis
 24251.3660	p	vis
 24278.5060	p	pg
 24354.5200	p	vis
 24365.3800	p	vis
 24388.4530	p	vis
 24407.4540	p	vis
 24433.2440	p	vis
 24434.6010	p	vis
 24448.1780	p	vis
 24449.5330	p	vis
 24532.3290	p	vis
 24551.3280	p	vis
 24555.4000	p	vis
 24589.3320	p	vis
 24589.3400	p	vis
 24593.4080	p	vis
 24608.3360	p	vis
 24642.2740	p	vis
 24691.1350	p	pg
 24711.4910	p	vis
 24711.4940	p	vis
 24730.4940	p	vis
 24738.6370	p	vis
 24745.4260	p	vis
 24760.3520	p	vis
 24772.5680	p	vis
 24863.5080	p	vis
 25083.3930	p	vis
 25098.3250	p	vis
 25102.3930	p	vis
 25109.1802	p	vis
 25121.3930	p	vis
 25125.4680	p	vis
 25148.5440	p	vis
 25152.6080	p	vis
 25152.6100	p	vis
 25162.1160	p	pg
 25190.6150	p	vis
 25209.6170	p	vis
 25265.2720	p	vis
 25307.3440	p	vis
 25471.5760	p	vis
 25482.4330	p	vis
 25509.5790	p	vis
 25665.6680	p	vis
 25763.3940	p	pg
 25839.4030	p	vis
 25866.5570	p	vis
